,이름,금액,페어링,주소,영문이름,나라,생산지,제조사,포도품종,알코올도수,평점,종류,산미,당도,바디감,탄닌,인기순위,추천순위,구매가능여부,이미지주소,평점지수
282,더 바이스 '더 트리 블렌드',69000,"강황/쿠민, 그릴/바베큐, 소고기/양고기",https://www.winenara.com/shop/product/product_view?product_cd=03Q343,THE VICE 'THE TRI BLEND',미국,"미국, 캘리포니아,나파",The Vice,"말벡(MALBEC) 54% , 카베르네 소비뇽(CABERNET FRANC) 30%, 쁘띠 시라(PETITE SIRAH) 16%",14.6,4,레드,4,1,4,4,442,658,구매 예약,https://www.winenara.com/uploads/product/550/2687_detail_090.png,4.058259329
283,생소 싱글 퍼멘트 시리즈 더 수스 세이어스 퍼멘트,39000,없음,https://www.winenara.com/shop/product/product_view?product_cd=03R803,VIGNO DRY FARMED OLD VINES MAULE VALLEY,칠레,센트럴밸리,가라지와인(Garage Wine Co.),생소(CINSAULT) 100%,13.8,3.7,레드,3,1,4,4,447,132,구매 예약,https://www.winenara.com/uploads/product/550/2674_detail_06.png,3.748961754
284,바구알 빈야드 칼리보로 로트 79 가르나차,59000,"강황/쿠민, 그릴/바베큐, 소고기/양고기",https://www.winenara.com/shop/product/product_view?product_cd=03Q080,BAGUAL VINEYARD CALIBORO LOT 79 GARNACHA,칠레,센트럴밸리,가라지와인(Garage Wine Co.),그르나슈(GRENACHE) 100%,14.9,3.9,레드,4,1,4,4,449,134,구매 예약,https://www.winenara.com/uploads/product/550/2672_detail_075.png,3.945242723
285,쿠네 리오하 오가닉 레드,25000,"파슬리, 계피/바닐라, 강황/쿠민, 고소한 치즈, 감칠맛 치즈, 양파/마늘, 표고버섯/느타리버섯, 훈제, 돼지고기/닭고기, 소고기/양고기, 바비큐/데리야키",https://www.winenara.com/shop/product/product_view?product_cd=03Q518,CUNE RIOJA ORGANIC RED,스페인,리오하 알타,쿠네,템프라니요 (Tempranillo) 100%,13.5,3.7,레드,3,3,3,3,450,535,구매 예약,https://www.winenara.com/uploads/product/550/2670_detail_016.png,3.743383208
286,커치 맥두갈 랜치 소노마 코스트 피노누아,119000,"고소한 치즈, 양파/마늘, 표고버섯/느타리버섯, 튀김, 돼지고기/닭고기",https://www.winenara.com/shop/product/product_view?product_cd=03Q220,KUTCH MCDOUGALL VINEYARD SONOMA COAST PINOT NOIR,미국,"미국, 캘리포니아 소노마",Kutch Wines,피노누아 (PINOT NOIR) 100%,13.5,4.2,레드,4,1,3,3,452,661,구매 예약,https://www.winenara.com/uploads/product/550/2666_detail_049.png,4.239664178
287,요하닝거 레드,18900,"고소한 치즈, 양파/마늘, 표고버섯/느타리버섯, 튀김, 돼지고기/닭고기",https://www.winenara.com/shop/product/product_view?product_cd=04D833,JOHANNINGER RED,독일,"독일, 라인헤센",JOHANNINGER,"생 로랑(ST. LAURENT) 39% , 피노 누아(PINOT NOIR) 25% , 멜롯(MERLOT) 24% , 기타(OTHERS) 12%",12.5,3.5,레드,2,1,4,3,454,20,구매 예약,https://www.winenara.com/uploads/product/550/2610_detail_066.png,3.535945147
288,아이씨에이치,14900,"민트/바질, 파슬리, 짠맛 치즈, 버터맛 치즈, 고소한 치즈, 감칠맛 치즈, 상추/아보카도, 당근/호박, 양파/마늘, 찜, 생선, 바닷가재/게, 새우",https://www.winenara.com/shop/product/product_view?product_cd=04D832,ICH,독일,"독일, 나헤",Lara Haas,"피노 비앙코(PINOT BIANCO) 50% , 피노 그리(PINOT GRIS) 50%",12.5,3.5,화이트,2,1,2,0,455,21,구매 예약,https://www.winenara.com/uploads/product/550/2610_detail_055.png,3.534085632
289,요하닝거 화이트,18900,"민트/바질, 계피/바닐라, 강황/쿠민, 버터맛 치즈, 고소한 치즈, 상추/아보카도, 당근/호박, 바닷가재/게, 돼지고기/닭고기, 살루미/베이컨, 바비큐/데리야키, 새우",https://www.winenara.com/shop/product/product_view?product_cd=03Q428,JOHANNINGER WHITE,독일,"독일, 라인헤센",JOHANNINGER,"뮐러투르가우(MULLER - THURGAU) 55% , 소비뇽 블랑(SAUVIGNON BLANC) 20% , 리슬링(RIESLING) 15%, 기타(OTHERS) 15%",12,3.1,화이트,2,1,1,0,456,22,구매 예약,https://www.winenara.com/uploads/product/550/2610_detail_092.png,3.132226117
290,아미치 스프링마운틴 카베르네 소비뇽,290000,"강황/쿠민, 그릴/바베큐, 소고기/양고기",https://www.winenara.com/shop/product/product_view?product_cd=03P943,AMICI SPRING MOUNTAIN CABERNET SAUVIGNON,미국,"미국, 캘리포니아,나파",AMICI CELLARS,카베르네 소비뇽(CABERNET SAUVIGNON) 100%,14.9,4.5,레드,3,0,5,4,460,668,구매 예약,https://www.winenara.com/uploads/product/550/2645_detail_023.png,4.524788056
291,빅뱃,100000,"강황/쿠민, 그릴/바베큐, 소고기/양고기",https://www.winenara.com/shop/product/product_view?product_cd=03Q568,Big Bat (BB),아르헨티나,우코 밸리 (Uco Valley),페나플로 (Penaflor),카베르네 소비뇽 (Cabernet Sauvignon) 100%,14,4.1,레드,3,1,4,4,462,330,구매 예약,https://www.winenara.com/uploads/product/550/2639_detail_088.png,4.121069026
292,우나니메 샤르도네,59000,"버터맛 치즈, 고소한 치즈, 양파/마늘, 표고버섯/느타리버섯, 바닷가재/게, 돼지고기/닭고기, 새우",https://www.winenara.com/shop/product/product_view?product_cd=04D677,UNANIME CHARDONNAY,아르헨티나,멘도자 (Mendoza),페나플로 (Penaflor),샤르도네 (Chardonnay) 100%,14.5,3.9,화이트,4,0,3,0,463,500,구매 예약,https://www.winenara.com/uploads/product/550/2638_detail_06.png,3.919209511
293,더 페데럴리스트 버번 배럴 카베르네 소비뇽,55000,"강황/쿠민, 그릴/바베큐, 소고기/양고기",https://www.winenara.com/shop/product/product_view?product_cd=03Q050,THE FEDERALIST BOURBON BARRELS CABERNET SAUVIGNON,미국,"캘리포니아, 로다이",텔라토 패밀리 빈야드 (Terlato Family Vineyards),카베르네 소비뇽 (Cabernet Sauvignon) 100%,15,3.9,레드,3,1,4,3,464,222,구매 예약,https://www.winenara.com/uploads/product/550/2635_detail_069.png,3.917349995
294,마푸 리제르바 카르메네르,16900,"파슬리, 계피/바닐라, 강황/쿠민, 고소한 치즈, 감칠맛 치즈, 양파/마늘, 표고버섯/느타리버섯, 훈제, 돼지고기/닭고기, 소고기/양고기, 바비큐/데리야키",https://www.winenara.com/shop/product/product_view?product_cd=03Q314,Mapu Reserva Carmenere,칠레,"칠레, 마울레 밸리",바롱 필립 드 로칠드 칠레,카르메네르(CABERNET SAUVIGNON) 100%,13.5,3.4,레드,4,1,4,2,465,121,구매 예약,https://www.winenara.com/uploads/product/550/2632_detail_049.png,3.41549048
295,마푸 그란 리제르바 카베르네 소비뇽,25000,"파슬리, 계피/바닐라, 강황/쿠민, 고소한 치즈, 감칠맛 치즈, 양파/마늘, 표고버섯/느타리버섯, 훈제, 돼지고기/닭고기, 소고기/양고기, 바비큐/데리야키",https://www.winenara.com/shop/product/product_view?product_cd=03Q108,MAPU GRAN RESERVA CABERNET SAUVIGNON,칠레,"칠레, 마울레 밸리",바롱 필립 드 로칠드 마이포 칠레,카베르네 소비뇽(CABERNET SAUVIGNON) 100%,13.5,3.3,레드,4,1,4,3,466,123,구매 예약,https://www.winenara.com/uploads/product/550/2630_detail_036.png,3.313630965
296,아미치 리저브 나파밸리 카베르네 소비뇽,250000,없음,https://www.winenara.com/shop/product/product_view?product_cd=03P939,AMICI RESERVE NAPA VALLEY CABERNET SAUVIGNON,미국,"미국, 캘리포니아,나파",AMICI CELLARS,"카베르네 소비뇽(CABERNET SAUVIGNON) 86%, 카베르네 프랑(CABERNET FRANC) 12%, 쁘띠 베르도(PETIT VERDOT) 2%",14.7,4.4,레드,3,0,5,5,467,670,구매 예약,https://www.winenara.com/uploads/product/550/2647_detail_060.png,4.41177145
297,산 텔모 카베르네 소비뇽,9900,"파슬리, 계피/바닐라, 강황/쿠민, 고소한 치즈, 감칠맛 치즈, 양파/마늘, 표고버섯/느타리버섯, 훈제, 돼지고기/닭고기, 소고기/양고기, 바비큐/데리야키",https://www.winenara.com/shop/product/product_view?product_cd=03Q267,SAN TELMO CABERNET SAUVIGNON,아르헨티나,"아르헨티나, 멘도사",산 텔모 (San Telmo),카베르네 소비뇽(CABERNET SAUVIGNON) 100,12.8,3.4,레드,3,1,4,3,469,336,구매 예약,https://www.winenara.com/uploads/product/550/2619_detail_080.png,3.40805242
298,하디스 HRB 카베르네 소비뇽,52000,"강황/쿠민, 그릴/바베큐, 소고기/양고기",https://www.winenara.com/shop/product/product_view?product_cd=03P990,HARDYS HRB CABERNET SAUVIGNON,호주,"호주, 남호주",하디스 (Hardys),"카베르네 소비뇽(Cabernet Sauvignon) 90%, 메를로(MERLOT) 10%",13.3,3.8,레드,4,0,5,4,470,216,구매 예약,https://www.winenara.com/uploads/product/550/2615_detail_053.png,3.806192904
299,배티그 셀렉시옹 파셀라 피노누아,120000,"파슬리, 계피/바닐라, 강황/쿠민, 고소한 치즈, 감칠맛 치즈, 양파/마늘, 표고버섯/느타리버섯, 훈제, 돼지고기/닭고기, 소고기/양고기, 바비큐/데리야키",https://www.winenara.com/shop/product/product_view?product_cd=03R416,BAETTIG SELECCION PARCELAS PINOT NOIR,칠레,"칠레, 마에이코 밸리",BAETTIG WINE(VIA VINICA SPA),피노누아 (PINOT NOIR) 100%,13,4.2,레드,3,1,4,3,472,35,구매 예약,https://www.winenara.com/uploads/product/550/2605_detail_041.png,4.202473874
300,배티그 비노 비네도 샤르도네,42000,"민트/바질, 파슬리, 짠맛 치즈, 버터맛 치즈, 고소한 치즈, 감칠맛 치즈, 상추/아보카도, 당근/호박, 양파/마늘, 찜, 생선, 바닷가재/게, 새우",https://www.winenara.com/shop/product/product_view?product_cd=04D783,BAETTIG VINO VINEDO CHARDONNAY,칠레,"칠레, 마에이코 밸리",BAETTIG WINE(VIA VINICA SPA),샤르도네 (CHARDONNAY) 100%,13.6,4,화이트,3,0,4,0,474,38,구매 예약,https://www.winenara.com/uploads/product/550/2602_detail_037.png,3.998754844
301,아일린 하디 쉬라즈,130000,"강황/쿠민, 그릴/바베큐, 소고기/양고기",https://www.winenara.com/shop/product/product_view?product_cd=03P988,EILEEN HARDY SHIRAZ,호주,"남호주, 맥라렌 베일",ACCOLADE WINES / HARDY's,쉬라즈(Shiraz) 100%,14,4.2,레드,3,0,5,4,475,82,구매 예약,https://www.winenara.com/uploads/product/550/2599_detail_070.png,4.196895328
302,우바 마트리스 몬페라토 비앙코 오로라,22000,"민트/바질, 계피/바닐라, 강황/쿠민, 버터맛 치즈, 고소한 치즈, 상추/아보카도, 당근/호박, 바닷가재/게, 돼지고기/닭고기, 살루미/베이컨, 바비큐/데리야키, 새우",https://www.winenara.com/shop/product/product_view?product_cd=04D746,UVA MATRIS MONFERRATO BIANCO AURORA,이탈리아,이탈리아 피에몬테,,샤르도네(CHARDONNAY) 100%,13.5,3.7,화이트,3,1,2,1,477,39,구매 예약,https://www.winenara.com/uploads/product/550/2597_detail_060.png,3.693176298
303,우바 마트리스 몬페라토 로소 레뷸라,45000,"파슬리, 계피/바닐라, 강황/쿠민, 고소한 치즈, 감칠맛 치즈, 양파/마늘, 표고버섯/느타리버섯, 훈제, 돼지고기/닭고기, 소고기/양고기, 바비큐/데리야키",https://www.winenara.com/shop/product/product_view?product_cd=03Q095,UVA MATRIS MONFERRATO ROSSO NEBULA,이탈리아,이탈리아 피에몬테,,네비올로(NEBBIOLO) 100%,14,3.8,레드,3,1,3,3,478,40,구매 예약,https://www.winenara.com/uploads/product/550/2596_detail_023.png,3.791316783
304,우바 마트리스 바르베라 델 몬페라토 슈페리오레 사지타,29000,"파슬리, 계피/바닐라, 강황/쿠민, 고소한 치즈, 감칠맛 치즈, 양파/마늘, 표고버섯/느타리버섯, 훈제, 돼지고기/닭고기, 소고기/양고기, 바비큐/데리야키",https://www.winenara.com/shop/product/product_view?product_cd=03Q094,UVA MATRIS BARBERA DEL MONFERRATO SUPERIORE SAGITTA,이탈리아,이탈리아 피에몬테,,바르베라 (Barbera) 100%,14,3.5,레드,3,1,3,1,479,41,구매 예약,https://www.winenara.com/uploads/product/550/2595_detail_03.png,3.489457268
305,양가라 루산,55000,"민트/바질, 계피/바닐라, 강황/쿠민, 버터맛 치즈, 고소한 치즈, 상추/아보카도, 당근/호박, 바닷가재/게, 돼지고기/닭고기, 살루미/베이컨, 바비큐/데리야키, 새우",https://www.winenara.com/shop/product/product_view?product_cd=04D638,YANGARRA ROUSSANNE,호주,"남호주, 맥라렌 베일",잭슨 패밀리 와인,루산,14.5,3.8,화이트,3,0,4,0,481,631,구매 예약,https://www.winenara.com/uploads/product/550/2575_detail_041.png,3.785738237
306,토마스 하디 카베르네 소비뇽,200000,"강황/쿠민, 그릴/바베큐, 소고기/양고기",https://www.winenara.com/shop/product/product_view?product_cd=03P987,Thomas Hardy Cabernet Sauvignon,호주,쿠나와라(Coonawarra),하디스 (Hardys),카베르네 소비뇽 (Cabernet Sauvignon) 100%,13.5,3.8,레드,4,0,5,3,482,217,구매 예약,https://www.winenara.com/uploads/product/550/2564_detail_037.png,3.783878722
307,에이 투 지 오레곤 피노누아,45000,"고소한 치즈, 양파/마늘, 표고버섯/느타리버섯, 튀김, 돼지고기/닭고기",https://www.winenara.com/shop/product/product_view?product_cd=03Q329,A TO Z OREGON PINOT NOIR,미국,오레곤,에이 투 지 와인웍스,피노누아 100%,13.5,3.6,레드,4,1,3,2,483,161,구매 예약,https://www.winenara.com/uploads/product/550/2562_detail_099.png,3.582019207
308,에이 투 지 오레곤 샤르도네,35000,"버터맛 치즈, 고소한 치즈, 양파/마늘, 표고버섯/느타리버섯, 바닷가재/게, 돼지고기/닭고기, 새우",https://www.winenara.com/shop/product/product_view?product_cd=04D814,A TO Z OREGON CHARDONNAY,미국,오레곤,에이 투 지 와인웍스,샤르도네 100%,13,3.6,화이트,3,0,3,0,484,163,구매 예약,https://www.winenara.com/uploads/product/550/2560_detail_065.png,3.580159692
309,하디스 스탬프 쉬라즈 카베르네,12900,"강황/쿠민, 그릴/바베큐, 소고기/양고기",https://www.winenara.com/shop/product/product_view?product_cd=03P991,HARDYS STAMP SHIRAZ CABERNET,호주,"호주, 리버랜드(Riverland)",하디스 (Hardys),쉬라즈 (Shiraz) & 카베르네 소비뇽 (Cabernet Sauvignon),13.5,3.4,레드,4,0,4,3,488,220,구매 예약,https://www.winenara.com/uploads/product/550/2056_detail_073.png,3.372721631
310,핀카 비야크레세스,90000,"파슬리, 계피/바닐라, 강황/쿠민, 고소한 치즈, 감칠맛 치즈, 양파/마늘, 표고버섯/느타리버섯, 훈제, 돼지고기/닭고기, 소고기/양고기, 바비큐/데리야키",https://www.winenara.com/shop/product/product_view?product_cd=03P926,FINCA VILLACRECES,스페인,,핀카 비야크레세스 (Finca Villacreces),,14,4,레드,3,0,4,4,489,450,구매 예약,https://www.winenara.com/uploads/product/550/1172_detail_073.png,3.970862116
311,산 필리포 브루넬로 디 몬탈치노 레 루체레,199000,"파슬리, 계피/바닐라, 강황/쿠민, 고소한 치즈, 감칠맛 치즈, 양파/마늘, 표고버섯/느타리버섯, 훈제, 돼지고기/닭고기, 소고기/양고기, 바비큐/데리야키",https://www.winenara.com/shop/product/product_view?product_cd=03R900,SAN FILIPPO BRUNELLO DI MONTALCINO LE LUCERE,이탈리아,몬탈치노,,산지오베제 그로쏘 100%,14,4.3,레드,3,0,4,4,490,227,구매 예약,https://www.winenara.com/uploads/product/550/2050_detail_044.png,4.269002601
312,산 필리포 브루넬로 디 몬탈치노,149000,"파슬리, 계피/바닐라, 강황/쿠민, 고소한 치즈, 감칠맛 치즈, 양파/마늘, 표고버섯/느타리버섯, 훈제, 돼지고기/닭고기, 소고기/양고기, 바비큐/데리야키",https://www.winenara.com/shop/product/product_view?product_cd=03R899,SAN FILIPPO BRUNELLO DI MONTALCINO,이탈리아,몬탈치노,산 필리포,산지오베제 그로쏘 100%,14.5,4.1,레드,3,0,4,4,491,228,구매 불가,https://www.winenara.com/uploads/product/550/2049_detail_013.png,4.067143086
313,도멘 디지오아 로이예 샹볼뮈지니 비에이 비뉴,210000,"파슬리, 계피/바닐라, 강황/쿠민, 고소한 치즈, 감칠맛 치즈, 양파/마늘, 표고버섯/느타리버섯, 훈제, 돼지고기/닭고기, 소고기/양고기, 바비큐/데리야키",https://www.winenara.com/shop/product/product_view?product_cd=03Q814,DOMAINE DIGIOIA ROYER CHAMBOLLE MUSIGNY VIEILLES VIGNES,프랑스,"부르고뉴, 샹볼 뮈지니",디지오아 로이예,피노 누아 100%,14,4,레드,3,0,4,3,495,141,구매 예약,https://www.winenara.com/uploads/product/550/1919_detail_037.png,3.959705025
314,도멘 디지오아 로이예 샹볼 뮈지니,180000,"파슬리, 계피/바닐라, 강황/쿠민, 고소한 치즈, 감칠맛 치즈, 양파/마늘, 표고버섯/느타리버섯, 훈제, 돼지고기/닭고기, 소고기/양고기, 바비큐/데리야키",https://www.winenara.com/shop/product/product_view?product_cd=03Q813,DOMAINE DIGIOIA ROYER CHAMBOLLE MUSIGNY,프랑스,"부르고뉴, 샹볼 뮈지니",디지오아 로이예,피노 누아 100%,14,4,레드,3,1,3,3,496,150,구매 예약,https://www.winenara.com/uploads/product/550/1918_detail_03.png,3.95784551
315,홀스 파워 더 트라이브 빈야드 시라,390000,없음,https://www.winenara.com/shop/product/product_view?product_cd=03O775,HORSE POWER THE TRIBE VINEYARD SYRAH,미국,웰링턴 왈라왈라,홀스 파워 빈야드,시라 100%,13.5,4.1,레드,4,1,4,4,498,253,구매 예약,https://www.winenara.com/uploads/product/550/1897_detail_013.png,4.054126479
316,프리마크 아비 시캐모어,350000,"강황/쿠민, 그릴/바베큐, 소고기/양고기",https://www.winenara.com/shop/product/product_view?product_cd=03P621,FREEMARK ABBEY SYCAMORE,미국,"나파 카운티, 러더포드",잭슨 패밀리 와인즈,"카베르네 소비뇽 83.1%, 메를로 5.2%, 카베르네 프랑 6.7%, 쁘띠 베르도 5%",14.5,4.3,레드,4,1,5,4,499,367,구매 예약,https://www.winenara.com/uploads/product/550/1892_detail_094.png,4.252266964
317,프루노토 로에로 아르네이스,30000,"파슬리, 계피/바닐라, 강황/쿠민, 고소한 치즈, 감칠맛 치즈, 양파/마늘, 표고버섯/느타리버섯, 훈제, 돼지고기/닭고기, 소고기/양고기, 바비큐/데리야키",https://www.winenara.com/shop/product/product_view?product_cd=04D241,PRUNOTTO ROERO ARNEIS,이탈리아,피에몬테,"프루노토, 안티노리",아르네이스 100%,13,3.5,화이트,3,1,2,0,500,432,구매 불가,https://www.winenara.com/uploads/product/550/2871_detail_061.png,3.450407449
318,퓨레트 드 실렉스 크레망 드 루아르,39000,"짠맛 치즈, 버터맛 치즈, 고소한 치즈, 감칠맛 치즈, 당근/호박, 조개/굴, 바닷가재/게, 살루미/베이컨, 새우",https://www.winenara.com/shop/product/product_view?product_cd=02A610,PURETE DE SILEX CREMANT DE LOIRE,프랑스,루아르,샤또 갈리아르드,"슈냉 블랑 50%, 샤르도네 블랑 20%, 카베르네 프랑 20%",12.5,3.6,스파클링,2,1,2,0,501,448,구매 예약,https://www.winenara.com/uploads/product/550/1888_detail_015.png,3.548547934
319,토마레스카 샤르도네,18000,"민트/바질, 파슬리, 짠맛 치즈, 버터맛 치즈, 고소한 치즈, 감칠맛 치즈, 상추/아보카도, 당근/호박, 양파/마늘, 찜, 생선, 바닷가재/게, 새우",https://www.winenara.com/shop/product/product_view?product_cd=03M917,TORMARESCA CHADONNAY,이탈리아,풀리아,토마레스카 / 안티노리,샤르도네 100%,12.5,3.6,화이트,3,1,2,0,504,511,구매 예약,https://www.winenara.com/uploads/product/550/1880_detail_020.png,3.542969388
320,카이유즈 엉 샹벌랭 빈야드 시라,220000,"강황/쿠민, 그릴/바베큐, 소고기/양고기",https://www.winenara.com/shop/product/product_view?product_cd=03Q432,CAYUSE CHAMBERLIN VINEYARD SYRAH,미국,"웰링턴, 왈라왈라 밸리",카이유즈 빈야드,시라 100%,14.7,4.4,레드,4,1,4,4,506,555,구매 예약,https://www.winenara.com/uploads/product/550/1875_detail_095.png,4.339250358
321,우르바노,5900,"파슬리, 계피/바닐라, 강황/쿠민, 고소한 치즈, 감칠맛 치즈, 양파/마늘, 표고버섯/느타리버섯, 훈제, 돼지고기/닭고기, 소고기/양고기, 바비큐/데리야키",https://www.winenara.com/shop/product/product_view?product_cd=03M728,URBANO,스페인,까스티야 라 만차,,"템프라니요, 카베르네 소비뇽",12.5,2.9,레드,3,2,3,2,508,608,구매 예약,https://www.winenara.com/uploads/product/550/1869_detail_011.png,2.835531327
322,오르넬라이아,400000,없음,https://www.winenara.com/shop/product/product_view?product_cd=03R496,ORNELLAIA,이탈리아,"토스카나, 볼게리",오르넬라이아,"카베르네 소비뇽 51%, 메를로 27%, 카베르네 프랑 18%, 쁘띠 베르도 4%",14.5,4.6,레드,3,0,4,4,509,620,구매 예약,https://www.winenara.com/uploads/product/550/1868_detail_073.png,4.533671812
323,에스쿠도 로호 오리진,69000,"강황/쿠민, 그릴/바베큐, 소고기/양고기",https://www.winenara.com/shop/product/product_view?product_cd=03P290,ESCUDO ROJO ORIGINE,칠레,마이포 밸리,바롱 필립 드 로칠드 마이포 칠레,카베르네 소비뇽 100%,14.5,4,레드,3,1,5,5,510,118,구매 예약,https://www.winenara.com/uploads/product/550/1864_detail_068.png,3.931812297
324,어니스트 레미 밀레짐 그랑크뤼,129000,"짠맛 치즈, 버터맛 치즈, 고소한 치즈, 감칠맛 치즈, 당근/호박, 조개/굴, 바닷가재/게, 살루미/베이컨, 새우",https://www.winenara.com/shop/product/product_view?product_cd=02A819,ERNEST REMY BRUT MILLESIME,프랑스,그랑크뤼 메이 - 샴페인,어니스트 레미,피노 누아 100%,12,4.1,샴페인,4,0,4,0,511,153,구매 예약,https://www.winenara.com/uploads/product/550/1861_detail_057.png,4.029952782
325,양가라 PF 쉬라즈,65000,"강황/쿠민, 그릴/바베큐, 소고기/양고기",https://www.winenara.com/shop/product/product_view?product_cd=03N838,YANGARRA PF SHIRAZ,호주,"남호주, 맥라렌 베일",잭슨 패밀리 와인즈,쉬라즈 100%,13,3.8,레드,2,1,3,3,512,171,구매 예약,https://www.winenara.com/uploads/product/550/1860_detail_016.png,3.728093267
326,알파박스 앤 다이스 블러드 오브 쥬피터,49000,"파슬리, 계피/바닐라, 강황/쿠민, 고소한 치즈, 감칠맛 치즈, 양파/마늘, 표고버섯/느타리버섯, 훈제, 돼지고기/닭고기, 소고기/양고기, 바비큐/데리야키",https://www.winenara.com/shop/product/product_view?product_cd=03P857,BLOOD OF JUPITER,호주,맥라렌 베일,알파 박스 & 다이스,"산지오 베제 79%, 카베르네 소비뇽 21%",14.5,4.2,레드,3,1,4,4,513,201,구매 예약,https://www.winenara.com/uploads/product/550/1858_detail_01.png,4.126233752
327,알파박스 앤 다이스 골든 멀렛 퓨리,29000,"민트/바질, 계피/바닐라, 강황/쿠민, 버터맛 치즈, 고소한 치즈, 상추/아보카도, 당근/호박, 바닷가재/게, 돼지고기/닭고기, 살루미/베이컨, 바비큐/데리야키, 새우",https://www.winenara.com/shop/product/product_view?product_cd=03P853,GOLDEN MULLET FURY,호주,"남호주, 맥라렌 베일",알파 박스 & 다이스,"세미용 70%, 비오니에 30%",13.7,3.7,화이트,3,0,2,0,514,235,구매 예약,https://www.winenara.com/uploads/product/550/1856_detail_055.png,3.624374236
328,센테니얼,130000,"강황/쿠민, 그릴/바베큐, 소고기/양고기",https://www.winenara.com/shop/product/product_view?product_cd=03N010,CENTENNIAL,미국,"캘리포니아, 로다이",레인지 트윈스,진판델 100%,15.6,4.2,레드,3,1,5,2,515,363,구매 예약,https://www.winenara.com/uploads/product/550/1849_detail_069.png,4.122514721
329,[매그넘]보타 박스 카베르네 소비뇽,35000,"파슬리, 계피/바닐라, 강황/쿠민, 고소한 치즈, 감칠맛 치즈, 양파/마늘, 표고버섯/느타리버섯, 훈제, 돼지고기/닭고기, 소고기/양고기, 바비큐/데리야키",https://www.winenara.com/shop/product/product_view?product_cd=03P391,BOTA BOX CABERNET SAUVIGNON,미국,캘리포니아,델리카토 패밀리,카베르네 소비뇽(Cabernet Sauvignon) 100%,13.5,3.3,레드,3,0,3,3,519,550,구매 불가,https://www.winenara.com/uploads/product/550/1832_detail_373.png,3.21507666
330,버톨리 키안티,12900,"파슬리, 계피/바닐라, 강황/쿠민, 고소한 치즈, 감칠맛 치즈, 양파/마늘, 표고버섯/느타리버섯, 훈제, 돼지고기/닭고기, 소고기/양고기, 바비큐/데리야키",https://www.winenara.com/shop/product/product_view?product_cd=03N607,BERTOLI CHIANTI,이탈리아,"토스카나, 키안티",프리텔리 버톨리,"산지오베제 85%, 카나이올로 10%, 실리에지올로 5%",12,3.4,레드,3,1,3,3,524,600,구매 예약,https://www.winenara.com/uploads/product/550/1826_detail_032.png,3.305779085
331,르 마치오체 브루넬로 디 몬탈치노 리제르바,200000,"파슬리, 계피/바닐라, 강황/쿠민, 고소한 치즈, 감칠맛 치즈, 양파/마늘, 표고버섯/느타리버섯, 훈제, 돼지고기/닭고기, 소고기/양고기, 바비큐/데리야키",https://www.winenara.com/shop/product/product_view?product_cd=03R322,LE MACIOCHE BRUNELLO DI MONTALCINO RISERVA,이탈리아,몬탈치노,파밀리아 코타렐라,산지오베제 100%,14.5,4.3,레드,4,1,4,3,528,203,구매 예약,https://www.winenara.com/uploads/product/550/1814_detail_055.png,4.198341024
332,르 마치오체 브루넬로 디 몬탈치노,150000,"파슬리, 계피/바닐라, 강황/쿠민, 고소한 치즈, 감칠맛 치즈, 양파/마늘, 표고버섯/느타리버섯, 훈제, 돼지고기/닭고기, 소고기/양고기, 바비큐/데리야키",https://www.winenara.com/shop/product/product_view?product_cd=03R321,LE MACIOCHE BRUNELLO DI MONTALCINO,이탈리아,몬탈치노,파밀리아 코타렐라,산지오베제 100%,14.5,4.2,레드,3,1,4,3,529,230,구매 예약,https://www.winenara.com/uploads/product/550/1813_detail_070.png,4.096481509
333,라스 피자라스 피노 누아,200000,"파슬리, 계피/바닐라, 강황/쿠민, 고소한 치즈, 감칠맛 치즈, 양파/마늘, 표고버섯/느타리버섯, 훈제, 돼지고기/닭고기, 소고기/양고기, 바비큐/데리야키",https://www.winenara.com/shop/product/product_view?product_cd=03P184,LAS PIZARRAS PINOT NOIR,칠레,아콩카구아 밸리,비냐 에라주리즈,피노 누아 100%,13.5,4.1,레드,4,0,4,3,532,311,구매 예약,https://www.winenara.com/uploads/product/550/1809_detail_033.png,3.990902963
334,라 마스코타 카베르네 소비뇽,30000,"강황/쿠민, 그릴/바베큐, 소고기/양고기",https://www.winenara.com/shop/product/product_view?product_cd=03N986,LA MASCOTA CABERNET SAUVIGNON,아르헨티나,멘도자 (Mendoza),페나플로,카베르네 소비뇽 100%,14,3.8,레드,3,0,4,3,533,342,구매 예약,https://www.winenara.com/uploads/product/550/1807_detail_011.png,3.689043448
335,루이 라뚜르 에세죠 그랑 크뤼,850000,"파슬리, 계피/바닐라, 강황/쿠민, 고소한 치즈, 감칠맛 치즈, 양파/마늘, 표고버섯/느타리버섯, 훈제, 돼지고기/닭고기, 소고기/양고기, 바비큐/데리야키",https://www.winenara.com/shop/product/product_view?product_cd=03R343,LOUIS LATOUR ECHEZEAUX GRAND CRU,프랑스,"부르고뉴, 꼬뜨 드 뉘, 본 로마네",루이 라뚜르,피노 누아 100%,14,4.3,레드,3,0,4,3,535,505,구매 불가,https://www.winenara.com/uploads/product/550/1794_detail_085.png,4.185324418
