,이름,금액,페어링,주소,영문이름,나라,생산지,제조사,포도품종,알코올도수,평점,종류,산미,당도,바디감,탄닌,인기순위,추천순위,구매가능여부,이미지주소,평점지수
65,아라스 그랑 빈티지,99000,"짠맛치즈, 버터맛치즈, 고소한치즈, 감칠맛치즈, 당근/호박, 조개/굴, 바닷가재/게, 살루미/베이컨, 새우",https://www.winenara.com/shop/product/product_view?product_cd=02A848,Arras Grand Vintage,호주,타즈매니아,ACCOLADE WINES / 하우스 오브 아라스,"샤르도네(CHARDONNAY) 65%, 피노누아(PINOT NOIR) 35%",12.5,4.2,스파클링,4,0,4,0,92,85,구매 예약,https://www.winenara.com/uploads/product/550/2586_detail_061.png,4.909089643
66,아콩카구아 알토 카베르네 소비뇽,45000,"강황/쿠민, 그릴/바베큐, 소고기/양고기",https://www.winenara.com/shop/product/product_view?product_cd=03O966,ACONCAGUA ALTO CABERNET SAUVIGNON,칠레,아콩카구아 알토,비냐 에라주리즈 (Errazuriz),"카베르네 소비뇽 88%, 쁘띠 베르도 7%, 카베르네 프랑 5%",14,3.9,레드,3,0,4,4,95,149,구매 예약,https://www.winenara.com/uploads/product/550/1649_detail_013.png,4.603511098
67,로시뇰 코르누 부르고뉴 꼬뜨 도르 피노누아,45000,없음,https://www.winenara.com/shop/product/product_view?product_cd=03P169,ROSSIGNOL CORNU BOURGOGNE COTE D'OR PINOT NOIR,프랑스,부르고뉴,로시뇰 코르우 에 피스 ( Rossignol Cornu et Fils ),피노 누아 (Pinot Noir),13,3.4,레드,3,0,2,3,96,252,구매 불가,https://www.winenara.com/uploads/product/550/1598_detail_018.png,4.101651582
68,오르벤,75000,"파슬리, 계피/바닐라, 강황/쿠민, 고소한치즈, 감칠맛치즈, 양파/마늘, 표고버섯/느타리버섯, 훈제, 돼지고기/닭고기, 소고기/양고기, 바비큐/데리야키",https://www.winenara.com/shop/product/product_view?product_cd=03P923,ORBEN,스페인,"스페인, 리오하",보데가스 오르벤 /아르테비노 (Bodegas Orben / Artevino),템프라니요 (Tempranillo) 100%,14.2,4,레드,3,0,3,3,98,468,구매 예약,https://www.winenara.com/uploads/product/550/1440_detail_037.png,4.697932552
69,쿠네 베르데호,16900,"민트/바질, 파슬리, 짠맛치즈, 버터맛치즈, 고소한치즈, 감칠맛치즈, 상추/아보카도, 당근/호박, 양파/마늘, 찜, 생선, 바닷가재/게, 새우",https://www.winenara.com/shop/product/product_view?product_cd=04D659,CUNE RUEDA VERDEJO,스페인,루에다,쿠네,베르데호 (Verdejo) 100%,12.7,3.4,화이트,4,0,2,0,99,571,구매 예약,https://www.winenara.com/uploads/product/550/1260_detail_055.png,4.096073037
70,구아도 알 타소 비앙코,39000,"민트/바질, 파슬리, 짠맛치즈, 버터맛치즈, 고소한치즈, 감칠맛치즈, 상추/아보카도, 당근/호박, 양파/마늘, 찜, 생선, 바닷가재/게, 새우",https://www.winenara.com/shop/product/product_view?product_cd=04C417,GUADO AL TASSO BIANCO,이탈리아,"토스카나, 볼게리",안티노리,베르멘티노(Vermentino) 100%,12.5,3.9,화이트,3,1,3,0,100,528,구매 예약,https://www.winenara.com/uploads/product/550/950_detail_025.png,4.594213522
71,인비보 X 사라 제시카 파커 말보로 소비뇽 블랑,27000,"민트/바질, 계피/바닐라, 강황/쿠민, 버터맛치즈, 고소한치즈, 상추/아보카도, 당근/호박, 바닷가재/게, 돼지고기/닭고기, 살루미/베이컨, 바비큐/데리야키, 새우",https://www.winenara.com/shop/product/product_view?product_cd=04D826,INVIVO X SJP MALBOROUGH SAUVIGNON BLANC,뉴질랜드,뉴질랜드,INVIVO X SJP,소비뇽 블랑(SAUVIGNON BLANC) 100%,13,4.1,화이트,4,0,2,0,102,17,구매 불가,https://www.winenara.com/uploads/product/550/2686_detail_054.png,4.790494491
72,산 텔모 말벡,9900,"강황/쿠민, 그릴/바베큐, 소고기/양고기",https://www.winenara.com/shop/product/product_view?product_cd=03Q266,SAN TELMO MALBEC,아르헨티나,"아르헨티나, 멘도사",산 텔모 (San Telmo),말벡(MALBEC) 100%,13.3,3.6,레드,3,1,3,2,103,335,구매 예약,https://www.winenara.com/uploads/product/550/2620_detail_030.png,4.288634976
73,아라스 블랑드 블랑 NV,52000,"짠맛치즈, 버터맛치즈, 고소한치즈, 감칠맛치즈, 당근/호박, 조개/굴, 바닷가재/게, 살루미/베이컨, 새우",https://www.winenara.com/shop/product/product_view?product_cd=02A705,ARRAS BLANC DE BLANC NV,호주,타즈매니아,ACCOLADE WINES / 하우스 오브 아라스,샤르도네(CHARDONNAY) 100%,12.5,4,스파클링,4,0,4,0,104,84,구매 예약,https://www.winenara.com/uploads/product/550/54ce01316507e3322ffd2e194d544248.png,4.686775461
74,아라스 브뤼 엘리트,62000,"짠맛치즈, 버터맛치즈, 고소한치즈, 감칠맛치즈, 당근/호박, 조개/굴, 바닷가재/게, 살루미/베이컨, 새우",https://www.winenara.com/shop/product/product_view?product_cd=02A706,ARRAS BRUT ELITE,호주,타즈매니아,ACCOLADE WINES / 하우스 오브 아라스,"피노누아 49%, 샤르도네 42%, 피노 므니에 9%",12.5,3.9,스파클링,4,0,4,0,105,86,구매 예약,https://www.winenara.com/uploads/product/550/2585_detail_027.png,4.584915946
75,룩벨레어 로제 팬텀,62000,"짠맛치즈, 버터맛치즈, 고소한치즈, 감칠맛치즈, 당근/호박, 조개/굴, 바닷가재/게, 살루미/베이컨, 새우",https://www.winenara.com/shop/product/product_view?product_cd=02A445,LUC BELAIRE ROSE FANTOME,프랑스,프로방스 꼬뜨 다쥐르,룩 벨레어,"90% 시라, 5% 그르나슈, 5% 쌩소",12.5,3.9,로제,3,1,4,0,106,626,구매 예약,https://www.winenara.com/uploads/product/550/2546_detail_013.png,4.583056431
76,바독 샤르도네,29000,"민트/바질, 파슬리, 짠맛치즈, 버터맛치즈, 고소한치즈, 감칠맛치즈, 상추/아보카도, 당근/호박, 양파/마늘, 찜, 생선, 바닷가재/게, 새우",https://www.winenara.com/shop/product/product_view?product_cd=03P978,BAR DOG CHARDONNAY,미국,캘리포니아,바 독,샤르도네,13.5,3.8,화이트,3,0,3,0,107,209,구매 예약,https://www.winenara.com/uploads/product/550/1937_detail_042.png,4.481196915
